x;tempo;invert
1;0.000000000;0
101;0.000000000;0
201;0.001000000;0
301;0.001000000;0
401;0.000000000;0
501;0.002000000;0
601;0.002000000;0
701;0.003000000;0
801;0.004000000;0
901;0.006000000;0
1001;0.007000000;0
1101;0.007000000;0
1201;0.009000000;0
1301;0.012000000;0
1401;0.016000000;0
1501;0.021000000;0
1601;0.024000000;0
1701;0.028000000;0
1801;0.031000000;0
1901;0.036000000;0
2001;0.045000000;0
2101;0.044000000;0
2201;0.050000000;0
2301;0.055000000;0
2401;0.062000000;0
2501;0.071000000;0
2601;0.074000000;0
2701;0.080000000;0
2801;0.087000000;0
2901;0.092000000;0
3001;0.237000000;0
3101;0.108000000;0
3201;0.119000000;0
3301;0.131000000;0
3401;0.176000000;0
3501;0.225000000;0
3601;0.313000000;0
3701;0.180000000;0
3801;0.180000000;0
3901;0.181000000;0
4001;0.464000000;0
4101;0.203000000;0
4201;0.200000000;0
4301;0.190000000;0
4401;0.226000000;0
4501;0.285000000;0
4601;0.264000000;0
4701;0.221000000;0
4801;0.258000000;0
4901;0.249000000;0
5001;0.279000000;0
5101;0.259000000;0
5201;0.309000000;0
5301;0.305000000;0
5401;0.330000000;0
5501;0.316000000;0
5601;0.353000000;0
5701;0.344000000;0
5801;0.429000000;0
5901;0.386000000;0
6001;0.424000000;0
6101;0.409000000;0
6201;0.461000000;0
6301;0.414000000;0
6401;0.499000000;0
6501;0.517000000;0
6601;0.520000000;0
6701;0.477000000;0
6801;0.537000000;0
6901;0.507000000;0
7001;0.570000000;0
7101;0.529000000;0
7201;0.603000000;0
7301;0.587000000;0
7401;0.646000000;0
7501;0.610000000;0
7601;0.709000000;0
7701;0.705000000;0
7801;0.729000000;0
7901;0.694000000;0
8001;0.770000000;0
8101;0.775000000;0
8201;0.833000000;0
8301;0.758000000;0
8401;0.867000000;0
8501;0.836000000;0
8601;0.943000000;0
8701;1.317000000;0
8801;0.986000000;0
8901;1.015000000;0
9001;1.009000000;0
9101;0.959000000;0
9201;1.144000000;0
9301;1.080000000;0
9401;1.145000000;0
9501;1.072000000;0
9601;1.373000000;0
9701;1.244000000;0
9801;1.300000000;0
9901;1.627000000;0
10001;1.651000000;0
10101;1.498000000;0
10201;1.467000000;0
10301;1.915000000;0
10401;1.523000000;0
10501;1.519000000;0
10601;1.602000000;0
10701;1.560000000;0
10801;1.719000000;0
10901;1.680000000;0
11001;2.108000000;0
11101;1.786000000;0
11201;2.029000000;0
11301;2.028000000;0
11401;2.319000000;0
11501;2.037000000;0
11601;2.700000000;0
11701;2.496000000;0
11801;2.577000000;0
11901;2.670000000;0
12001;2.693000000;0
12101;2.760000000;0
12201;2.901000000;0
12301;2.823000000;0
12401;3.047000000;0
12501;3.302000000;0
12601;3.303000000;0
12701;3.249000000;0
12801;3.584000000;0
12901;3.625000000;0
13001;3.532000000;0
13101;4.078000000;0
13201;3.700000000;0
13301;3.908000000;0
13401;3.980000000;0
13501;4.693000000;0
13601;4.362000000;0
13701;4.095000000;0
13801;4.295000000;0
13901;4.348000000;0
14001;4.628000000;0
14101;4.687000000;0
14201;4.919000000;0
14301;5.130000000;0
14401;5.288000000;0
14501;5.151000000;0
14601;5.484000000;0
14701;5.287000000;0
14801;5.657000000;0
14901;6.065000000;0
15001;5.806000000;0
15101;6.748000000;0
15201;5.974000000;0
15301;5.968000000;0
15401;6.341000000;0
15501;6.802000000;0
15601;6.613000000;0
15701;6.824000000;0
15801;7.077000000;0
15901;6.727000000;0
16001;7.354000000;0
16101;7.782000000;0
16201;7.699000000;0
16301;7.393000000;0
16401;7.620000000;0
16501;8.073000000;0
16601;8.204000000;0
16701;8.238000000;0
16801;8.396000000;0
16901;8.307000000;0
17001;9.405000000;0
17101;8.790000000;0
17201;9.272000000;0
17301;9.252000000;0
17401;9.760000000;0
17501;9.231000000;0
17601;9.790000000;0
17701;9.860000000;0
17801;10.321000000;0
17901;9.979000000;0
18001;10.828000000;0
18101;10.705000000;0
18201;10.770000000;0
18301;11.107000000;0
18401;10.759000000;0
18501;11.014000000;0
18601;11.313000000;0
18701;11.371000000;0
18801;12.039000000;0
18901;11.996000000;0
19001;12.333000000;0
19101;12.173000000;0
19201;12.449000000;0
19301;12.571000000;0
19401;12.988000000;0
19501;12.711000000;0
19601;13.700000000;0
19701;13.611000000;0
19801;13.747000000;0
19901;14.143000000;0
20001;13.932000000;0
20101;14.393000000;0
20201;14.736000000;0
20301;14.653000000;0
20401;15.094000000;0
20501;14.826000000;0
20601;15.916000000;0
20701;14.953000000;0
20801;16.081000000;0
20901;15.656000000;0
21001;15.997000000;0
21101;16.278000000;0
21201;16.588000000;0
