x;y;tempo;inverso
1;1; 0.00;1
11;11; 0.00;1
21;21; 0.00;1
31;31; 0.00;1
41;41; 0.00;1
51;51; 0.00;1
61;61; 0.00;1
71;71; 0.00;1
81;81; 0.00;1
91;91; 0.00;1
101;101; 0.00;1
111;111; 0.00;1
121;121; 0.00;1
131;131; 0.00;1
141;141; 0.00;1
151;151; 0.00;1
161;161; 0.00;1
171;171; 0.00;1
181;181; 0.00;1
191;191; 0.00;1
201;201; 0.00;1
211;211; 0.00;1
221;221; 0.00;1
231;231; 0.00;1
241;241; 0.00;1
251;251; 0.00;1
261;261; 0.00;1
271;271; 0.00;1
281;281; 0.00;1
291;291; 0.00;1
301;301; 0.00;1
311;311; 0.00;1
321;321; 0.00;1
331;331; 0.00;1
341;341; 0.00;1
351;351; 0.00;1
361;361; 0.00;1
371;371; 0.00;1
381;381; 0.00;1
391;391; 0.00;1
401;401; 0.00;1
411;411; 0.01;1
421;421; 0.00;1
431;431; 0.00;1
441;441; 0.00;1
451;451; 0.00;1
461;461; 0.00;1
471;471; 0.00;1
481;481; 0.00;1
491;491; 0.00;1
501;501; 0.00;1
511;511; 0.01;1
521;521; 0.00;1
531;531; 0.00;1
541;541; 0.00;1
551;551; 0.00;1
561;561; 0.00;1
571;571; 0.00;1
581;581; 0.00;1
591;591; 0.00;1
601;601; 0.00;1
611;611; 0.00;1
621;621; 0.00;1
631;631; 0.00;1
641;641; 0.00;1
651;651; 0.00;1
661;661; 0.00;1
671;671; 0.00;1
681;681; 0.00;1
691;691; 0.00;1
701;701; 0.00;1
711;711; 0.00;1
721;721; 0.00;1
731;731; 0.00;1
741;741; 0.00;1
751;751; 0.00;1
761;761; 0.00;1
771;771; 0.01;1
781;781; 0.00;1
791;791; 0.01;1
801;801; 0.01;1
811;811; 0.01;1
821;821; 0.01;1
831;831; 0.00;1
841;841; 0.01;1
851;851; 0.01;1
861;861; 0.01;1
871;871; 0.01;1
881;881; 0.01;1
891;891; 0.01;1
901;901; 0.01;1
911;911; 0.01;1
921;921; 0.01;1
931;931; 0.01;1
941;941; 0.01;1
951;951; 0.01;1
961;961; 0.01;1
971;971; 0.01;1
981;981; 0.01;1
991;991; 0.01;1
1001;1001; 0.01;1
1011;1011; 0.01;1
1021;1021; 0.01;1
1031;1031; 0.01;1
1041;1041; 0.01;1
1051;1051; 0.01;1
1061;1061; 0.01;1
1071;1071; 0.01;1
1081;1081; 0.01;1
1091;1091; 0.01;1
1101;1101; 0.03;1
1111;1111; 0.02;1
1121;1121; 0.01;1
1131;1131; 0.01;1
1141;1141; 0.02;1
1151;1151; 0.03;1
1161;1161; 0.02;1
1171;1171; 0.02;1
1181;1181; 0.02;1
1191;1191; 0.03;1
1201;1201; 0.02;1
1211;1211; 0.02;1
1221;1221; 0.02;1
1231;1231; 0.02;1
1241;1241; 0.02;1
1251;1251; 0.02;1
1261;1261; 0.03;1
1271;1271; 0.02;1
1281;1281; 0.02;1
1291;1291; 0.02;1
1301;1301; 0.03;1
1311;1311; 0.02;1
1321;1321; 0.02;1
1331;1331; 0.02;1
1341;1341; 0.02;1
1351;1351; 0.02;1
1361;1361; 0.02;1
1371;1371; 0.02;1
1381;1381; 0.03;1
1391;1391; 0.05;1
1401;1401; 0.02;1
1411;1411; 0.02;1
1421;1421; 0.02;1
1431;1431; 0.03;1
1441;1441; 0.03;1
1451;1451; 0.04;1
1461;1461; 0.09;1
1471;1471; 0.06;1
1481;1481; 0.07;1
1491;1491; 0.06;1
1501;1501; 0.05;1
1511;1511; 0.04;1
1521;1521; 0.05;1
1531;1531; 0.04;1
1541;1541; 0.06;1
1551;1551; 0.13;1
1561;1561; 0.07;1
1571;1571; 0.03;1
1581;1581; 0.04;1
1591;1591; 0.07;1
1601;1601; 0.04;1
1611;1611; 0.03;1
1621;1621; 0.03;1
1631;1631; 0.04;1
1641;1641; 0.03;1
1651;1651; 0.06;1
1661;1661; 0.05;1
1671;1671; 0.05;1
1681;1681; 0.04;1
1691;1691; 0.03;1
1701;1701; 0.05;1
1711;1711; 0.08;1
1721;1721; 0.05;1
1731;1731; 0.07;1
1741;1741; 0.04;1
1751;1751; 0.03;1
1761;1761; 0.05;1
1771;1771; 0.04;1
1781;1781; 0.06;1
1791;1791; 0.04;1
1801;1801; 0.05;1
1811;1811; 0.03;1
1821;1821; 0.05;1
1831;1831; 0.04;1
1841;1841; 0.08;1
1851;1851; 0.08;1
1861;1861; 0.08;1
1871;1871; 0.09;1
1881;1881; 0.09;1
1891;1891; 0.09;1
1901;1901; 0.09;1
1911;1911; 0.06;1
1921;1921; 0.06;1
1931;1931; 0.04;1
1941;1941; 0.06;1
1951;1951; 0.05;1
1961;1961; 0.04;1
1971;1971; 0.07;1
1981;1981; 0.08;1
1991;1991; 0.08;1
2001;2001; 0.06;1
2011;2011; 0.05;1
2021;2021; 0.07;1
2031;2031; 0.05;1
2041;2041; 0.05;1
2051;2051; 0.07;1
2061;2061; 0.07;1
2071;2071; 0.09;1
2081;2081; 0.06;1
2091;2091; 0.06;1
2101;2101; 0.07;1
2111;2111; 0.05;1
2121;2121; 0.07;1
2131;2131; 0.05;1
2141;2141; 0.07;1
2151;2151; 0.07;1
2161;2161; 0.07;1
2171;2171; 0.07;1
2181;2181; 0.07;1
2191;2191; 0.09;1
2201;2201; 0.21;1
2211;2211; 0.10;1
2221;2221; 0.08;1
2231;2231; 0.07;1
2241;2241; 0.07;1
2251;2251; 0.07;1
2261;2261; 0.07;1
2271;2271; 0.07;1
2281;2281; 0.08;1
2291;2291; 0.08;1
2301;2301; 0.10;1
2311;2311; 0.07;1
2321;2321; 0.07;1
2331;2331; 0.08;1
2341;2341; 0.08;1
2351;2351; 0.09;1
2361;2361; 0.08;1
2371;2371; 0.08;1
2381;2381; 0.09;1
2391;2391; 0.08;1
2401;2401; 0.08;1
2411;2411; 0.08;1
2421;2421; 0.08;1
2431;2431; 0.08;1
2441;2441; 0.09;1
2451;2451; 0.12;1
2461;2461; 0.09;1
2471;2471; 0.09;1
2481;2481; 0.09;1
2491;2491; 0.09;1
2501;2501; 0.10;1
2511;2511; 0.17;1
2521;2521; 0.08;1
2531;2531; 0.10;1
2541;2541; 0.09;1
2551;2551; 0.16;1
2561;2561; 0.20;1
2571;2571; 0.10;1
2581;2581; 0.09;1
2591;2591; 0.12;1
2601;2601; 0.10;1
2611;2611; 0.10;1
2621;2621; 0.08;1
2631;2631; 0.11;1
2641;2641; 0.09;1
2651;2651; 0.15;1
2661;2661; 0.09;1
2671;2671; 0.12;1
2681;2681; 0.12;1
2691;2691; 0.11;1
2701;2701; 0.09;1
2711;2711; 0.15;1
2721;2721; 0.10;1
2731;2731; 0.15;1
2741;2741; 0.25;1
2751;2751; 0.09;1
2761;2761; 0.16;1
2771;2771; 0.13;1
2781;2781; 0.14;1
2791;2791; 0.16;1
2801;2801; 0.10;1
2811;2811; 0.10;1
2821;2821; 0.17;1
2831;2831; 0.12;1
2841;2841; 0.12;1
2851;2851; 0.13;1
2861;2861; 0.12;1
2871;2871; 0.10;1
2881;2881; 0.20;1
2891;2891; 0.15;1
2901;2901; 0.12;1
2911;2911; 0.14;1
2921;2921; 0.12;1
2931;2931; 0.13;1
2941;2941; 0.13;1
2951;2951; 0.16;1
2961;2961; 0.12;1
2971;2971; 0.12;1
2981;2981; 0.12;1
2991;2991; 0.12;1
3001;3001; 0.12;1
3011;3011; 0.12;1
3021;3021; 0.12;1
3031;3031; 0.20;1
3041;3041; 0.12;1
3051;3051; 0.13;1
3061;3061; 0.13;1
3071;3071; 0.13;1
3081;3081; 0.12;1
3091;3091; 0.12;1
3101;3101; 0.20;1
3111;3111; 0.15;1
3121;3121; 0.13;1
3131;3131; 0.15;1
3141;3141; 0.14;1
3151;3151; 0.14;1
3161;3161; 0.14;1
3171;3171; 0.17;1
3181;3181; 0.16;1
3191;3191; 0.24;1
3201;3201; 0.14;1
3211;3211; 0.14;1
3221;3221; 0.15;1
3231;3231; 0.15;1
3241;3241; 0.17;1
3251;3251; 0.22;1
3261;3261; 0.30;1
3271;3271; 0.23;1
3281;3281; 0.29;1
3291;3291; 0.18;1
3301;3301; 0.22;1
3311;3311; 0.20;1
3321;3321; 0.15;1
3331;3331; 0.15;1
3341;3341; 0.16;1
3351;3351; 0.16;1
3361;3361; 0.18;1
3371;3371; 0.18;1
3381;3381; 0.16;1
3391;3391; 0.16;1
3401;3401; 0.16;1
3411;3411; 0.17;1
3421;3421; 0.17;1
3431;3431; 0.18;1
3441;3441; 0.16;1
3451;3451; 0.18;1
3461;3461; 0.17;1
3471;3471; 0.16;1
3481;3481; 0.18;1
3491;3491; 0.17;1
3501;3501; 0.16;1
3511;3511; 0.23;1
3521;3521; 0.24;1
3531;3531; 0.18;1
3541;3541; 0.17;1
3551;3551; 0.26;1
3561;3561; 0.21;1
3571;3571; 0.22;1
3581;3581; 0.28;1
3591;3591; 0.24;1
3601;3601; 0.21;1
3611;3611; 0.22;1
3621;3621; 0.24;1
3631;3631; 0.21;1
3641;3641; 0.26;1
3651;3651; 0.20;1
3661;3661; 0.20;1
3671;3671; 0.20;1
3681;3681; 0.20;1
3691;3691; 0.19;1
3701;3701; 0.19;1
3711;3711; 0.19;1
3721;3721; 0.22;1
3731;3731; 0.22;1
3741;3741; 0.20;1
3751;3751; 0.20;1
3761;3761; 0.23;1
3771;3771; 0.19;1
3781;3781; 0.19;1
3791;3791; 0.28;1
3801;3801; 0.22;1
3811;3811; 0.21;1
3821;3821; 0.21;1
3831;3831; 0.25;1
3841;3841; 0.21;1
3851;3851; 0.20;1
3861;3861; 0.34;1
3871;3871; 0.22;1
3881;3881; 0.21;1
3891;3891; 0.24;1
3901;3901; 0.46;1
3911;3911; 0.23;1
3921;3921; 0.27;1
3931;3931; 0.25;1
3941;3941; 0.33;1
3951;3951; 0.37;1
3961;3961; 0.38;1
3971;3971; 0.40;1
3981;3981; 0.23;1
3991;3991; 0.22;1
4001;4001; 0.24;1
4011;4011; 0.24;1
4021;4021; 0.23;1
4031;4031; 0.26;1
4041;4041; 0.23;1
